ADV AUC on sample: 0.9607

TOP 30 ADVERSARIAL IMPORTANCE
                                    feature  ks_stat       p_value  is_drifted  importance  is_protected
          diff_order_inflow_15m_battery_std 0.196732  0.000000e+00        True           0          True
     diff_order_inflow_15m_heavy_item_ratio 0.196716  0.000000e+00        True           7          True
     diff_order_inflow_15m_congestion_score 0.191604  0.000000e+00        True           6          True
       logprod_order_inflow_15m_battery_std 0.190473  0.000000e+00        True           0          True
       inter_order_inflow_15m_x_battery_std 0.190473  0.000000e+00        True           1          True
      ratio_order_inflow_15m_to_battery_std 0.186815  0.000000e+00        True           0          True
             order_inflow_15m_rolling_std_5 0.171849  0.000000e+00        True           7          True
ratio_order_inflow_15m_to_robot_utilization 0.154700  0.000000e+00        True           0          True
  logprod_order_inflow_15m_heavy_item_ratio 0.148544  0.000000e+00        True           0          True
  inter_order_inflow_15m_x_heavy_item_ratio 0.148544  0.000000e+00        True           0          True
             order_inflow_15m_rolling_std_3 0.143181  0.000000e+00        True           0          True
 inter_order_inflow_15m_x_robot_utilization 0.139440  0.000000e+00        True           0          True
 logprod_order_inflow_15m_robot_utilization 0.139440  0.000000e+00        True           0          True
                robot_active_rolling_mean_5 0.125960  0.000000e+00        True           5          True
 ratio_order_inflow_15m_to_heavy_item_ratio 0.121829  0.000000e+00        True           0          True
                robot_active_rolling_mean_3 0.119348  0.000000e+00        True           0          True
              unique_sku_15m_rolling_mean_5 0.115399  0.000000e+00        True           1          True
              unique_sku_15m_rolling_mean_3 0.114513  0.000000e+00        True           3          True
             heavy_item_ratio_rolling_std_5 0.111938  0.000000e+00        True           0          True
                             unique_sku_15m 0.111102  0.000000e+00        True           0          True
                               robot_active 0.108936  0.000000e+00        True          15          True
                          sku_concentration 0.103564  0.000000e+00        True           0          True
           sku_concentration_rolling_mean_5 0.103023  0.000000e+00        True          14          True
           sku_concentration_rolling_mean_3 0.102863  0.000000e+00        True          23          True
                 robot_active_rolling_std_5 0.100258  0.000000e+00        True           3          True
  inter_order_inflow_15m_x_congestion_score 0.097625 1.570793e-266        True           0          True

TOP 30 PROTECTED DRIFT
                                    feature  ks_stat       p_value  is_drifted  importance  is_protected
            order_inflow_15m_rolling_mean_5 0.216665  0.000000e+00        True          39          True
            order_inflow_15m_rolling_mean_3 0.209660  0.000000e+00        True           4          True
    diff_order_inflow_15m_robot_utilization 0.198085  0.000000e+00        True          17          True
                           order_inflow_15m 0.197570  0.000000e+00        True         153          True
          diff_order_inflow_15m_battery_std 0.196732  0.000000e+00        True           0          True
     diff_order_inflow_15m_heavy_item_ratio 0.196716  0.000000e+00        True           7          True
     diff_order_inflow_15m_congestion_score 0.191604  0.000000e+00        True           6          True
       inter_order_inflow_15m_x_battery_std 0.190473  0.000000e+00        True           1          True
       logprod_order_inflow_15m_battery_std 0.190473  0.000000e+00        True           0          True
      ratio_order_inflow_15m_to_battery_std 0.186815  0.000000e+00        True           0          True
             order_inflow_15m_rolling_std_5 0.171849  0.000000e+00        True           7          True
ratio_order_inflow_15m_to_robot_utilization 0.154700  0.000000e+00        True           0          True
  inter_order_inflow_15m_x_heavy_item_ratio 0.148544  0.000000e+00        True           0          True
  logprod_order_inflow_15m_heavy_item_ratio 0.148544  0.000000e+00        True           0          True
             order_inflow_15m_rolling_std_3 0.143181  0.000000e+00        True           0          True
 inter_order_inflow_15m_x_robot_utilization 0.139440  0.000000e+00        True           0          True
 logprod_order_inflow_15m_robot_utilization 0.139440  0.000000e+00        True           0          True
                robot_active_rolling_mean_5 0.125960  0.000000e+00        True           5          True
 ratio_order_inflow_15m_to_heavy_item_ratio 0.121829  0.000000e+00        True           0          True
                robot_active_rolling_mean_3 0.119348  0.000000e+00        True           0          True
              unique_sku_15m_rolling_mean_5 0.115399  0.000000e+00        True           1          True
              unique_sku_15m_rolling_mean_3 0.114513  0.000000e+00        True           3          True
             heavy_item_ratio_rolling_std_5 0.111938  0.000000e+00        True           0          True
                             unique_sku_15m 0.111102  0.000000e+00        True           0          True
                               robot_active 0.108936  0.000000e+00        True          15          True
                          sku_concentration 0.103564  0.000000e+00        True           0          True
           sku_concentration_rolling_mean_5 0.103023  0.000000e+00        True          14          True
           sku_concentration_rolling_mean_3 0.102863  0.000000e+00        True          23          True
                 robot_active_rolling_std_5 0.100258  0.000000e+00        True           3          True
  inter_order_inflow_15m_x_congestion_score 0.097625 1.570793e-266        True           0          True
